7zip 24.09-3
python-pyaml 24.12.0-1
python-pycparser 2.22-3
python-pydantic 2.11.7-1
python-pydantic-core 2:2.33.2-2
python-pyqt6 6.9.1-1
python-pyqt6-sip 13.10.2-1
python-pywal16 1:3.8.9-2
python-pywalfox 2.7.4-1
python-requests 2.32.4-1
python-shtab 1.7.2-1
python-soupsieve 2.6-2
python-termcolor 2.5.0-1
python-typing-inspection 0.4.1-1
python-typing_extensions 4.14.1-1
python-urllib3 2.5.0-1
python-userpath 1.9.2-3
python-wheel 0.45.1-1
python-yaml 6.0.2-2
qca-qt6 2.3.10-2
qqc2-desktop-style 6.16.0-1
qrencode 4.1.1-4
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-svg 5.15.17+kde+r5-1
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt6-5compat 6.9.1-1
qt6-base 6.9.1-5
qt6-connectivity 6.9.1-1
qt6-declarative 6.9.1-2
qt6-multimedia 6.9.1-1
qt6-multimedia-ffmpeg 6.9.1-1
qt6-positioning 6.9.1-1
qt6-shadertools 6.9.1-1
qt6-svg 6.9.1-1
qt6-translations 6.9.1-1
qt6-wayland 6.9.1-1
qt6-webchannel 6.9.1-1
qt6-webengine 6.9.1-2
raptor 2.0.16-7
rate-mirrors 0.20.0-2
rav1e 0.7.1-1
re2 1:20240702-5
readline 8.3.001-1
rebuild-detector 4.4.5-1
recode 3.7.15-1
reflector 2023-3
reflector-simple 2024.8.1-1
ripgrep 14.1.1-1
ristretto 0.13.4-1
rofi 1.7.9.1-1
rpcbind 1.2.7-2
rsync 3.4.1-2
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
s-nail 14.9.25-1
sbc 2.0-2
sd 1.0.0-1
sdbus-cpp 2.1.0-2
sdl12-compat 1.2.68-2
sdl2-compat 2.32.56-2
sdl3 3.2.18-1
sdl_image 1.2.12-9
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
serd 0.32.4-1
sg3_utils 1.48-1
shaderc 2025.3-1
shadow 4.18.0-1
shared-mime-info 2.4-2
simdjson 1:3.13.0-1
slang 2.3.3-4
slurp 1.5.0-1
smartmontools 7.5-1
smbclient 2:4.22.3-1
snappy 1.2.2-2
